Name,Corr,dx/sx,Cons/prog,Ind/col,Flame,Agreeableness,Conscientiousness,Em Stability,Extroversion,Openness,Social Use,TFCE
R_xGAVvdhvteIuT3b,0.6829480612269737,86,2,39,58,23.5,41.5,2.5,33.0,39.5,14.833333333333334,-0.1787148966432805
R_tScCVFecr6dlXGN,0.6690748592518786,30,2,6,40,16.5,61.0,35.5,11.0,82.5,25.5,0.2723673687221165
R_rlrvLDsyqZxBbXP,0.692807248836872,48,21,37,21,70.5,45.5,41.5,45.0,39.0,19.166666666666668,0.3582579093131235
R_qF6YsqjzCmyMGNb,0.2257986395487988,21,81,48,51,88.5,37.0,21.5,20.0,17.5,38.833333333333336,0.5658242394659071
R_pofupKms0WblSQV,0.7378973596298823,99,9,45,21,85.0,54.0,35.0,64.5,74.0,69.66666666666667,-0.0009768095265672
R_pH0SbKbwwDBLKQF,0.6219636473945249,30,4,69,22,10.5,60.5,67.0,14.5,64.0,18.0,0.0547007659262625
R_ebdqL0VlEIL6XUR,0.6207282126464405,86,5,7,8,77.0,81.5,1.0,29.5,86.0,51.333333333333336,-0.5527604391455918
R_eQjdQQwDBfbCnQt,0.5675707686726723,48,16,36,4,58.0,52.0,51.5,12.5,56.0,12.0,-0.4235234794763922
R_e9tPAFy96KZQlrz,0.3598518286459217,69,3,2,17,19.5,45.0,62.0,16.5,80.5,61.16666666666666,0.0335151132836522
R_cSxlUxA0nNW9oJP,0.607705208703764,71,23,41,33,69.0,52.5,11.5,15.0,75.0,71.5,0.3477410069193455
R_cSkC0WYSk5BDIu5,0.5708955481703726,63,33,51,1,39.0,69.0,23.5,3.5,89.0,1.0,0.3242220678930724
R_b0WP94xjPTrB4XL,0.5636208570981798,48,1,16,4,22.0,38.5,65.0,15.0,77.5,23.666666666666668,0.2790394803500023
R_ZyIOm9jUJzXiwVz,0.7359238438695543,69,25,16,4,52.5,23.5,79.5,14.5,46.0,44.5,-0.446566090265289
R_YSKZPjFQgkbInOF,0.6912389165132243,25,35,36,18,40.0,81.5,44.5,66.5,47.5,15.333333333333334,-0.3485696210765983
R_Xq6fjy65aEpGtjz,0.6768662312777701,50,1,2,8,21.5,57.0,32.0,33.0,87.5,51.833333333333336,0.3913759406927566
R_XRmT6PKstlkXYuR,0.6001570430766331,55,2,24,40,45.0,33.0,32.5,65.0,70.5,24.0,-0.2972198686599754
R_XRQiXEDDjBjRyrT,0.90464384306018,15,1,21,63,54.0,14.0,68.0,24.5,54.0,41.333333333333336,-0.2694472743589431
R_WeTtjEgXkiXRFTP,0.9050368520946794,71,10,23,17,52.5,55.5,30.0,23.5,46.0,38.0,-0.1404097239390672
R_UReTbeVTf5NOwbD,0.5687127437811784,100,0,0,11,48.5,68.0,50.0,0.0,100.0,27.5,-0.2493094901551723
R_UMS5sykbn09UxAB,0.2968018409781564,70,16,52,1,73.5,38.5,37.5,50.5,65.0,77.83333333333333,-0.3067965201379222
R_T8bkT7EbU7spzON,0.7725574679756628,50,22,7,41,48.5,73.5,50.0,5.0,98.0,58.333333333333336,0.420123213675347
R_Rh8QOgUI9DxExMt,0.3604676268652223,58,18,31,4,32.5,63.0,33.0,78.5,56.0,31.0,0.1955445130456171
R_Q3qrJXK8rVfiZDb,0.6778321784641255,100,4,42,61,36.0,49.0,2.5,46.0,85.5,74.16666666666667,0.2434646426690535
R_PILkgYbv69EO8z7,0.6416244238852766,67,2,50,19,80.5,83.0,43.0,52.5,94.0,43.833333333333336,-0.3503311383813346
R_OI3DIcSu8aqQ2nn,0.4699359214427743,59,21,10,82,40.0,82.0,18.0,4.5,96.0,19.666666666666668,0.1428177584044969
R_DpzuxUb2GGljDAB,0.2339816235850282,100,21,35,36,69.0,75.0,29.5,39.5,96.0,33.666666666666664,0.4865821390066253
R_D18xknBJWEM7Z73,0.7618781323004876,75,19,52,7,44.5,40.0,60.5,14.0,48.5,65.66666666666667,0.1095158991152864
